Links,Address,Description,Price
https://www.rightmove.co.uk/properties/119760653#/?channel=RES_BUY,"Great Eastern Road, Stratford E15",2 bedroom apartment for sale,"£650,000"
https://www.rightmove.co.uk/properties/120104867#/?channel=RES_BUY,"White Post Lane, Hackney, E9",2 bedroom flat for sale,"£650,000"
https://www.rightmove.co.uk/properties/120069950#/?channel=RES_BUY,"White Post Lane, London, E9",2 bedroom apartment for sale,"£650,000"
https://www.rightmove.co.uk/properties/116805197#/?channel=RES_BUY,"Windmill Lane,
Stratford,
London,
E15",3 bedroom apartment for sale,"£649,000"
https://www.rightmove.co.uk/properties/119910368#/?channel=RES_BUY,"Idmiston Road, Stratford",3 bedroom semi-detached house for sale,"£635,000"
https://www.rightmove.co.uk/properties/73541592#/?channel=RES_BUY,"Stratosphere Tower, Stratford, London E15",2 bedroom apartment for sale,"£629,999"
https://www.rightmove.co.uk/properties/119827787#/?channel=RES_BUY,"Leyton Road, London, E15",2 bedroom flat for sale,"£625,000"
https://www.rightmove.co.uk/properties/119968895#/?channel=RES_BUY,"Anthology Stratford Mill
Marshgate Late
London
E15 2NH",3 bedroom apartment for sale,"£695,000"
https://www.rightmove.co.uk/properties/119113106#/?channel=RES_BUY,"2 White Post Lane, London, E9",2 bedroom apartment for sale,"£625,000"
https://www.rightmove.co.uk/properties/119758745#/?channel=RES_BUY,"Buckingham Road, London, E15",3 bedroom end of terrace house for sale,"£625,000"
https://www.rightmove.co.uk/properties/119724731#/?channel=RES_BUY,"Park Road, London",3 bedroom terraced house for sale,"£625,000"
https://www.rightmove.co.uk/properties/118302515#/?channel=RES_BUY,"Stratford Eye, 1 Angel Lane, Stratford, E15",3 bedroom apartment for sale,"£625,000"
https://www.rightmove.co.uk/properties/114165617#/?channel=RES_BUY,Great Eastern Road London E15,2 bedroom apartment for sale,"£625,000"
https://www.rightmove.co.uk/properties/120161486#/?channel=RES_BUY,"Worland Road, Stratford, London, E15",3 bedroom terraced house for sale,"£625,000"
https://www.rightmove.co.uk/properties/119649026#/?channel=RES_BUY,Great Eastern Road London E15,2 bedroom apartment for sale,"£625,000"
https://www.rightmove.co.uk/properties/119752733#/?channel=RES_BUY,"Colegrave Road, London, E15",3 bedroom terraced house for sale,"£600,000"
https://www.rightmove.co.uk/properties/107506418#/?channel=RES_BUY,"High Street, Stratford, E15",3 bedroom apartment for sale,"£600,000"
https://www.rightmove.co.uk/properties/119552795#/?channel=RES_BUY,"Vansittart Road, London, E7",3 bedroom terraced house for sale,"£600,000"
https://www.rightmove.co.uk/properties/119104064#/?channel=RES_BUY,"Heart of Bow, E3",2 bedroom flat for sale,"£600,000"
https://www.rightmove.co.uk/properties/114888968#/?channel=RES_BUY,"Torrens Square, London",3 bedroom terraced house for sale,"£600,000"
https://www.rightmove.co.uk/properties/117496523#/?channel=RES_BUY,"Geere Road, Stratford",3 bedroom end of terrace house for sale,"£600,000"
https://www.rightmove.co.uk/properties/114440672#/?channel=RES_BUY,"Stratosphere Tower, Great Eastern Road, Stratford E15",2 bedroom apartment for sale,"£600,000"
https://www.rightmove.co.uk/properties/118566365#/?channel=RES_BUY,"White Post Lane, London, E9",2 bedroom apartment for sale,"£600,000"
https://www.rightmove.co.uk/properties/118325702#/?channel=RES_BUY,"Water Lane, Stratford, East London. E15 4NL",3 bedroom apartment for sale,"£600,000"
https://www.rightmove.co.uk/properties/119361641#/?channel=RES_BUY,"Manhattan Building, Bow, E3",2 bedroom flat for sale,"£600,000"
https://www.rightmove.co.uk/properties/120052040#/?channel=RES_BUY,"Portway, Stratford, London, E15",3 bedroom house for sale,"£600,000"
https://www.rightmove.co.uk/properties/83600460#/?channel=RES_BUY,"Knox Road, London, E7",3 bedroom terraced house for sale,"£600,000"
https://www.rightmove.co.uk/properties/115140194#/?channel=RES_BUY,"Stratosphere Tower, 55 Great Eastern Road, Stratford, London, E15",2 bedroom flat for sale,"£600,000"
https://www.rightmove.co.uk/properties/117346292#/?channel=RES_BUY,"129 Cadogan Terrace, London",2 bedroom flat for sale,"£600,000"
https://www.rightmove.co.uk/properties/119460857#/?channel=RES_BUY,"Tandy Place,
London,
E20 3AS",2 bedroom apartment for sale,"£600,000"
https://www.rightmove.co.uk/properties/82348428#/?channel=RES_BUY,"1 Hyett Terrace,
Honour Lea Avenue,
Stratford,
London,
E20 1HH",3 bedroom apartment for sale,"£600,000"
https://www.rightmove.co.uk/properties/119413022#/?channel=RES_BUY,"Prize Walk, Stratford, London, E20",2 bedroom flat for sale,"£600,000"
https://www.rightmove.co.uk/properties/119088932#/?channel=RES_BUY,Station Street London E15,2 bedroom apartment for sale,"£650,000"
https://www.rightmove.co.uk/properties/118354208#/?channel=RES_BUY,"Water Lane, Stratford, London, E15",3 bedroom flat for sale,"£600,000"
https://www.rightmove.co.uk/properties/119820083#/?channel=RES_BUY,"North Birkbeck Road, Leytonstone",3 bedroom terraced house for sale,"£600,000"
https://www.rightmove.co.uk/properties/119461553#/?channel=RES_BUY,"Tandy Place,
London,
E20 3AS",3 bedroom apartment for sale,"£600,000"
